Id,SalePrice
1461,122297.9944210528
1462,163790.67440420884
1463,182695.0946847515
1464,198392.70461802278
1465,177394.8714290424
1466,169400.5467796785
1467,180614.39487191555
1468,167976.05224812013
1469,176487.91402898286
1470,123301.36620887708
1471,210659.326229445
1472,92299.14428355417
1473,88156.87575311844
1474,151178.19807676048
1475,126709.59452671147
1476,392268.9346700111
1477,248534.9977937323
1478,285834.21237168374
1479,272145.408778516
1480,490445.6349734713
1481,321918.4340401605
1482,207909.7045432904
1483,171769.82342897987
1484,166478.15300134526
1485,183548.4231114631
1486,192411.12251133885
1487,324042.8430238854
1488,237718.66512552043
1489,212995.22333836596
1490,223578.00606130023
1491,194333.22381916465
1492,94788.02772603957
1493,181345.607063811
1494,320878.29752434837
1495,310447.68053415854
1496,241376.1382301629
1497,180286.20066363495
1498,166895.80220379398
1499,160266.42318323723
1500,162673.54497767144
1501,171383.5102705877
1502,160161.1616606612
1503,314793.0407941708
1504,248971.63129902724
1505,237287.6266980738
1506,175675.05037856134
1507,229634.38328528547
1508,194439.7125502914
1509,164365.9548005349
1510,149826.52692106666
1511,152564.13499812828
1512,164351.35958909016
1513,136696.94550532827
1514,160686.99133905157
1515,197365.3456703315
1516,148384.47252713772
1517,162931.15123232946
1518,128001.3957238539
1519,223540.4260390154
1520,139136.02912672493
1521,133293.333365026
1522,169149.58283040076
1523,115508.59224678947
1524,123620.23292010374
1525,123450.74790037592
1526,122762.62446112004
1527,97431.82441935022
1528,132662.07499760113
1529,149665.01807648945
1530,184809.61729249053
1531,111705.89444774883
1532,91148.44821400044
1533,146910.52462647995
1534,115029.74833695954
1535,155090.59358592227
1536,118907.33726724453
1537,65698.31351995948
1538,154464.6963126217
1539,178773.46225538035
1540,95324.81668308044
1541,129921.19280103708
1542,138275.20701071317
1543,225013.0970736007
1544,77614.2448699864
1545,111483.11052038883
1546,128379.71097127673
1547,138001.30710142606
1548,130358.27164511279
1549,113122.11042326933
1550,129258.10285994648
1551,116049.13193500943
1552,131529.28650819
1553,132396.86928788095
1554,116688.06332743002
1555,167492.7360514072
1556,84882.21185916464
1557,112091.15964710138
1558,93477.05658417073
1559,88784.44342931185
1560,139447.91956703865
